DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2017/10/28,2,21,19,22,5,18,33,16
2017/10/29,0,10,8,13,3,9,20,14
2017/10/30,4,43,24,32,13,30,47,40
2017/10/31,9,38,22,33,13,45,58,41
2017/11/01,3,44,33,60,15,25,70,35
2017/11/02,2,52,26,43,16,29,59,30
2017/11/03,2,49,38,50,24,25,73,40
2017/11/04,1,29,20,22,9,19,36,24
2017/11/05,4,24,18,21,8,11,23,14
2017/11/06,0,50,25,48,18,31,56,23
2017/11/07,2,51,29,45,22,25,62,34
2017/11/08,4,47,33,50,27,38,64,56
2017/11/09,1,32,22,30,23,32,39,29
2017/11/10,5,43,42,33,17,27,54,30
2017/11/11,0,26,19,23,11,11,37,21
2017/11/12,3,29,23,19,1,8,34,14
2017/11/13,17,41,24,34,11,17,42,36
2017/11/14,2,40,28,28,22,20,45,31
2017/11/15,4,45,35,41,22,31,53,27
2017/11/16,1,52,30,39,25,29,53,30
2017/11/17,2,63,33,38,18,45,58,25
2017/11/18,1,26,17,16,8,14,36,22
2017/11/19,1,16,14,11,8,17,25,8
2017/11/20,1,28,27,35,13,29,49,20
2017/11/21,4,43,25,36,19,27,51,27
2017/11/22,2,59,37,50,18,41,79,20
2017/11/23,3,32,11,21,5,17,33,9
2017/11/24,2,45,28,17,9,16,32,14
2017/11/25,1,30,22,16,11,13,30,13
2017/11/26,0,13,12,23,6,9,17,6
2017/11/27,1,23,15,31,17,15,26,13
2017/11/28,1,45,25,38,24,25,56,28
2017/11/29,2,39,23,33,9,19,48,29
2017/11/30,6,35,37,46,23,33,68,46
2017/12/01,4,62,42,46,22,22,71,24
2017/12/02,3,25,13,24,13,16,35,20
2017/12/03,1,17,14,16,5,13,21,13
2017/12/04,2,56,29,32,16,18,57,23
