DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2017/07/18,8,41,43,34,13,108,67,44
2017/07/19,9,64,55,35,13,106,75,43
2017/07/20,5,49,47,23,9,97,76,37
2017/07/21,6,55,39,22,15,78,71,24
2017/07/22,2,29,43,15,6,56,59,11
2017/07/23,0,32,30,12,3,37,31,18
2017/07/24,1,60,51,28,16,93,79,39
2017/07/25,3,59,46,28,19,107,72,39
2017/07/26,6,62,50,39,26,96,89,29
2017/07/27,6,74,62,48,37,122,94,41
2017/07/28,5,61,38,34,14,118,91,35
2017/07/29,2,29,46,16,8,64,44,11
2017/07/30,0,32,26,12,6,35,36,15
2017/07/31,2,50,40,31,13,99,79,29
2017/08/01,2,51,42,36,17,107,71,39
2017/08/02,5,57,61,30,30,132,87,51
2017/08/03,5,75,57,31,18,124,91,36
2017/08/04,5,48,51,29,13,108,67,28
2017/08/05,2,33,28,10,5,60,44,16
2017/08/06,1,26,31,10,7,32,40,11
2017/08/07,6,51,51,30,16,97,68,37
2017/08/08,2,56,45,29,16,114,77,26
2017/08/09,4,50,44,30,19,116,94,28
2017/08/10,2,48,43,29,20,74,80,25
2017/08/11,7,49,47,20,8,124,87,29
2017/08/12,2,29,38,18,9,54,67,16
2017/08/13,0,33,29,26,22,32,50,16
2017/08/14,4,55,42,56,41,103,104,24
2017/08/15,1,54,47,64,48,125,110,34
2017/08/16,5,53,42,51,47,99,108,38
2017/08/17,7,47,33,64,42,105,103,25
2017/08/18,7,34,38,46,27,86,91,25
2017/08/19,0,32,30,17,14,51,56,14
2017/08/20,3,30,31,11,17,32,40,12
2017/08/21,2,47,53,33,31,86,81,25
2017/08/22,2,63,44,48,27,93,98,28
2017/08/23,2,63,51,48,24,112,118,38
2017/08/24,5,50,44,25,31,103,73,31
2017/08/25,5,38,49,29,27,116,73,22
2017/08/26,0,39,39,24,12,60,49,10
2017/08/27,1,44,44,20,10,34,43,9
2017/08/28,3,34,42,15,11,33,44,10
2017/08/30,4,41,60,22,13,72,43,18
2017/08/31,7,65,93,43,18,100,90,23
2017/09/01,5,65,68,28,16,88,65,23
2017/09/02,0,42,47,8,7,40,35,12
2017/09/03,0,32,49,15,7,28,49,10
2017/09/04,1,48,49,14,7,36,54,20
2017/09/05,3,116,62,24,20,75,54,36
2017/09/06,5,85,106,47,25,119,105,45
2017/09/07,6,70,73,28,25,98,73,39
2017/09/08,17,82,95,26,18,107,91,25
2017/09/09,4,40,49,16,2,52,42,8
2017/09/10,0,44,65,17,4,32,36,16
2017/09/11,2,66,72,40,8,73,78,26
2017/09/12,6,61,66,36,15,113,91,38
2017/09/13,11,81,93,45,23,114,88,42
2017/09/14,3,80,81,25,14,110,76,34
2017/09/15,4,69,67,38,24,113,75,24
2017/09/16,4,38,36,21,13,67,50,17
2017/09/17,0,34,42,18,11,40,39,11
2017/09/18,7,55,61,20,17,91,73,27
2017/09/19,3,58,57,33,24,118,85,31
2017/09/20,7,55,65,42,22,130,85,37
2017/09/21,4,60,63,31,18,129,84,34
2017/09/22,19,49,46,24,19,111,83,43
2017/09/23,0,39,41,21,8,60,53,14
2017/09/24,1,32,33,22,6,42,45,11
2017/09/25,7,61,56,35,19,92,76,41
2017/09/26,9,43,46,38,24,108,82,39
2017/09/27,7,51,59,36,27,111,77,52
2017/09/28,8,51,57,30,19,125,80,31
2017/09/29,7,54,59,28,20,121,89,30
2017/09/30,2,38,30,11,4,45,45,13
2017/10/01,2,22,20,11,10,30,21,10
2017/10/02,2,47,44,64,16,90,92,16
2017/10/03,5,65,54,71,15,113,107,31
2017/10/04,11,43,50,60,24,123,103,35
2017/10/05,8,38,55,44,19,72,98,27
2017/10/06,5,52,54,43,15,122,116,27
2017/10/07,0,38,35,22,9,63,47,11
2017/10/08,2,29,35,21,8,40,52,14
2017/10/09,0,47,45,21,10,64,69,26
