DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2019/04/05,3,31,19,21,15,30,34,11
2019/04/06,2,25,9,18,4,26,32,12
2019/04/07,1,19,12,12,7,8,27,17
2019/04/08,6,44,16,40,12,27,50,27
2019/04/09,6,45,20,32,19,33,53,29
2019/04/10,3,48,22,32,8,30,41,36
2019/04/11,9,51,23,25,10,42,57,33
2019/04/12,7,49,23,29,12,40,54,28
2019/04/13,4,26,11,19,8,21,30,17
2019/04/14,1,19,3,12,5,11,21,14
2019/04/15,1,31,18,34,10,30,57,19
2019/04/16,1,32,13,26,10,20,48,24
2019/04/17,1,45,26,22,12,32,54,29
2019/04/18,11,32,16,21,7,36,38,36
2019/04/19,8,35,12,23,12,35,50,24
2019/04/20,1,12,10,9,3,22,30,6
2019/04/21,0,24,10,16,8,12,31,7
2019/04/22,2,29,21,37,11,23,52,22
2019/04/23,0,40,26,48,26,43,74,31
2019/04/24,4,38,20,42,18,43,70,27
2019/04/25,1,49,31,35,22,43,58,30
2019/04/26,2,38,22,39,12,37,50,23
2019/04/27,2,14,6,13,5,19,14,11
2019/04/28,1,26,7,29,7,16,35,17
2019/04/29,3,41,43,32,13,42,59,30
2019/04/30,5,38,18,32,12,33,78,30
2019/05/01,2,31,18,34,13,38,69,43
2019/05/02,2,37,25,44,11,36,58,29
2019/05/03,2,37,24,23,12,33,57,22
2019/05/04,1,18,11,19,13,15,34,12
2019/05/05,0,15,4,17,1,9,29,18
2019/05/06,5,21,18,17,7,9,27,19
2019/05/07,6,35,28,27,17,34,49,22
2019/05/08,2,40,18,31,8,25,56,26
2019/05/09,2,43,24,20,10,31,50,29
2019/05/10,3,36,25,22,12,25,52,22
2019/05/11,0,26,21,21,10,15,37,17
2019/05/12,0,23,10,16,7,20,31,12
2019/05/13,0,33,15,19,8,21,50,21
2019/05/14,7,30,22,22,10,23,60,26
2019/05/15,4,24,20,31,9,30,56,23
2019/05/16,4,32,20,19,9,27,46,24
2019/05/17,3,26,21,16,16,19,47,17
2019/05/18,0,16,19,25,5,16,32,19
2019/05/19,0,21,12,22,9,9,26,16
2019/05/20,4,23,23,24,10,12,41,28
2019/05/21,2,34,32,18,8,25,58,19
2019/05/22,2,36,30,26,9,35,63,46
2019/05/23,1,46,35,31,13,27,76,34
2019/05/24,1,27,15,22,13,30,43,17
2019/05/25,1,24,24,13,14,10,31,10
2019/05/26,0,13,10,24,7,15,22,13
2019/05/27,0,19,31,19,13,14,29,19
2019/05/28,2,28,28,18,15,23,43,23
