DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2017/09/22,1,11,4,5,4,5,18,2
2017/09/23,0,6,4,2,0,5,11,1
2017/09/24,0,11,8,9,0,5,9,3
2017/09/25,1,26,6,12,2,19,21,5
2017/09/26,1,13,6,9,5,11,16,5
2017/09/27,2,15,10,10,4,11,25,8
2017/09/28,0,10,8,10,8,13,22,4
2017/09/29,3,13,4,13,2,6,22,7
2017/09/30,1,2,2,11,3,7,12,6
2017/10/01,1,5,4,5,1,6,9,6
2017/10/02,0,23,3,11,2,11,17,3
2017/10/03,0,14,1,9,1,5,20,6
2017/10/04,0,13,6,9,4,14,21,5
2017/10/05,0,15,7,6,1,13,20,3
2017/10/06,0,9,5,7,4,10,18,2
2017/10/07,0,6,4,4,0,6,13,0
2017/10/08,0,2,5,8,2,7,11,4
2017/10/09,1,11,5,5,3,16,15,2
2017/10/10,3,11,12,10,5,9,21,7
2017/10/11,1,9,8,5,3,13,13,2
2017/10/12,2,15,10,3,2,10,13,1
2017/10/13,0,7,6,1,0,6,7,1
2017/10/14,2,2,1,2,0,3,4,1
2017/10/15,0,7,2,4,1,5,6,4
2017/10/16,0,12,14,3,0,7,11,3
2017/10/17,1,9,8,4,3,8,12,3
2017/10/18,0,11,7,5,1,7,14,0
2017/10/19,0,16,10,11,2,11,17,5
2017/10/20,1,11,8,8,3,18,19,3
2017/10/21,0,8,2,3,3,6,5,2
2017/10/22,0,10,5,9,1,5,10,1
2017/10/23,0,15,3,10,2,10,18,4
2017/10/24,2,7,4,8,2,8,21,1
2017/10/25,2,2,6,5,2,12,9,2
2017/10/26,0,13,9,13,3,14,22,2
2017/10/27,3,11,3,11,3,11,19,5
2017/10/28,2,3,4,3,2,12,15,3
2017/10/29,0,2,3,8,2,7,11,4
2017/10/30,0,22,10,12,2,13,25,3
2017/10/31,3,10,12,12,4,8,20,2
2017/11/01,1,12,7,10,2,8,18,4
2017/11/02,0,17,7,10,3,18,24,7
2017/11/03,0,10,4,3,6,13,10,0
2017/11/04,0,6,0,2,1,12,8,2
2017/11/05,0,5,5,3,3,9,10,0
2017/11/06,2,10,5,13,3,20,19,2
2017/11/07,1,17,3,10,1,18,21,2
2017/11/08,1,17,5,6,2,15,19,4
2017/11/09,1,16,5,12,2,19,16,7
2017/11/10,1,12,6,8,3,10,13,2
2017/11/11,1,7,2,0,2,5,6,2
2017/11/12,0,6,3,6,0,6,10,0
2017/11/13,3,13,12,9,5,14,18,4
2017/11/14,2,17,6,10,3,19,21,5
2017/11/15,3,21,3,11,7,25,21,6
2017/11/16,3,19,11,9,2,20,15,5
2017/11/17,0,14,8,8,3,9,18,4
