DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2015/12/14,2,49,16,42,5,51,64,8
2015/12/15,5,53,16,30,9,33,49,14
2015/12/16,2,53,30,37,11,50,47,11
2015/12/17,4,45,28,32,4,40,60,21
2015/12/18,2,52,29,35,9,38,46,22
2015/12/19,1,18,17,18,2,17,34,6
2015/12/20,0,12,7,14,3,15,23,6
2015/12/21,3,31,22,30,7,54,39,15
2015/12/22,1,39,37,25,8,45,40,11
2015/12/23,4,39,24,36,9,45,52,13
2015/12/24,1,47,23,25,8,39,41,3
2015/12/25,0,9,8,6,1,4,13,2
2015/12/26,0,15,10,8,1,11,19,4
2015/12/27,0,30,22,7,2,13,22,6
2015/12/28,1,38,30,20,10,15,42,10
2015/12/29,1,29,17,20,7,34,34,9
2015/12/30,1,37,33,23,8,37,43,14
2015/12/31,4,39,27,22,5,37,45,14
2016/01/01,1,21,17,18,2,21,27,7
2016/01/02,1,22,12,16,5,14,33,2
2016/01/03,0,15,13,10,2,15,18,4
2016/01/04,1,45,28,25,5,29,45,12
2016/01/05,4,54,46,23,8,41,50,12
2016/01/06,0,39,39,27,7,54,52,11
2016/01/07,2,57,40,38,6,58,64,18
2016/01/08,3,39,36,28,9,42,51,9
2016/01/09,1,24,16,11,6,28,26,3
2016/01/10,0,21,12,13,6,18,29,12
2016/01/11,1,34,27,29,9,49,34,15
2016/01/12,3,50,28,28,8,46,49,14
2016/01/13,4,55,31,19,13,54,51,16
2016/01/14,2,56,33,40,8,53,47,13
2016/01/15,1,48,28,34,11,52,52,18
2016/01/16,1,22,7,9,4,18,18,5
2016/01/17,0,19,11,12,4,11,23,2
2016/01/18,1,35,21,33,8,40,58,13
2016/01/19,5,45,29,34,8,50,47,25
2016/01/20,2,43,18,35,12,39,54,17
2016/01/21,1,44,27,26,9,49,47,15
2016/01/22,4,47,29,33,10,52,55,18
2016/01/23,0,21,14,7,3,10,17,5
2016/01/24,0,26,13,10,2,13,18,7
2016/01/25,1,42,26,23,6,38,42,14
